feature,score
vocab6842,0.0005206752304596884
vocab76,0.000513044031973875
n_paragraphs_with_n_sentences_geq7_lt10_frac,0.0005058519137087991
vocab794,0.0005054574952476631
n_sentences_words_geq5_lt10,0.000505424758290407
vocab989,0.0005045892346421832
vocab2201,0.000501365375589069
activity_Nonproduction_ttrend,0.00049866227040265
vocab187,0.0004972996929922147
vocab1450,0.0004893649745383088
vocab6639,0.0004874331565650758
vocab32,0.000483807791668367
vocab6683,0.00048167662700000503
vocab10919,0.0004813612947277557
vocab5295,0.0004811639729990436
is_new_burst_start_Remove/Cut_ttrend,0.00048044083498763877
vocab16303,0.00048020020147698794
vocab1321,0.0004794619887154905
vocab11231,0.0004779418014179804
vocab4385,0.00047717850157238397
vocab9833,0.0004750124624821828
vocab4750,0.0004722783078105142
vocab6975,0.0004722714454242549
is_new_burst_start_Input_frac_total_entropy,0.0004657015543435117
vocab4401,0.0004649607541249212
vocab10401,0.0004593112102861729
vocab13760,0.0004535203687898948
vocab4955,0.00045109918392962636
vocab6813,0.00045079993889067803
vocab2747,0.00045042520760321116
vocab778,0.0004478475378372204
vocab3289,0.00044765561601902706
n_paragraphs_with_n_sentences_geq3_lt4_frac,0.000447439732098065
vocab8752,0.0004428813076701399
vocab10231,0.0004401029412314017
vocab2398,0.00043608192039408246
vocab8435,0.00043534100767734786
vocab6625,0.00042777843305388254
vocab837,0.000426702388393152
vocab8391,0.00042491479302890766
vocab5108,0.00042315408471884643
vocab8610,0.0004211498179466977
vocab10608,0.00041964448040303636
vocab7145,0.00041913441385916795
n_paragraphs_with_n_sentences_geq5_lt6_frac,0.0004135764435022615
vocab17,0.0004133836216990039
vocab8479,0.00041262774673029857
vocab15333,0.00040882508477291246
vocab1350,0.00040860053849554043
vocab651,0.0004047792018477825
is_new_activity_streak_start_Replace_ttrend,0.0004047374650397284
vocab4717,0.0004028134094377966
vocab4324,0.00040200443534939013
vocab3123,0.00040184243803507156
vocab1292,0.0003997660599583952
vocab91,0.0003982827720491633
vocab6609,0.0003955890042079302
vocab606,0.00039335467874981325
vocab4430,0.00039224904707957364
vocab14768,0.00038656372883392185
vocab2288,0.0003838080870184335
vocab3913,0.00038329577051192664
vocab4353,0.00038291867676358836
n_paragraphs_with_n_sentences_geq7_lt10,0.0003810069959564899
vocab12107,0.000380298257706313
vocab1603,0.00037860909821014755
vocab4339,0.00037809048180805773
vocab1017,0.00037764408920859527
vocab17278,0.000377156184797367
vocab5265,0.00037644024666658724
vocab4574,0.0003751749801428339
vocab14646,0.0003722502536305905
vocab6536,0.00037168483800433807
vocab18207,0.0003708480768766176
vocab8566,0.0003703911094524948
vocab1617,0.00036621337871320934
vocab4617,0.0003646123052567063
vocab808,0.0003634648242802685
event11,0.00036205747261210954
event4,0.00035797581528003165
vocab6989,0.00035253945540703047
vocab8768,0.00035062091221369494
n_paragraphs_with_n_sentences_geq6_lt7_frac,0.00034945756900022217
vocab4542,0.000346602366335369
vocab15648,0.0003431500235702156
activity_Replace_ttrend,0.00034306373750068173
vocab11384,0.00034185854498101074
vocab6475,0.0003408596740408498
vocab666,0.00033922102620727036
vocab2647,0.00033877193365257076
vocab4588,0.00033446887999097894
vocab7159,0.0003337245923301646
vocab4734,0.0003332981119005929
vocab8376,0.00033018978843208925
vocab9942,0.0003286305642817844
is_new_burst_start_Remove/Cut,0.00032843031760154684
vocab2777,0.00032819902143612636
vocab3441,0.0003278019030197532
vocab2216,0.0003261526803614911
vocab1873,0.0003259466962764135
vocab2171,0.0003239049676253325
vocab620,0.0003223494559134288
vocab433,0.0003223385435943582
vocab15499,0.00032137893450328024
vocab8595,0.0003202315660249644
vocab1184,0.0003199440207920512
vocab10756,0.00031913572169248725
vocab10446,0.0003177782066981161
vocab10289,0.0003172987396470095
vocab2560,0.0003167685359369843
vocab20263,0.000314090517834642
vocab264,0.00031346131576590606
vocab2557,0.000312147787542294
vocab15662,0.00031209378843752853
vocab2602,0.0003101773827087539
vocab5912,0.0003094998064419929
vocab4557,0.00030805296792848493
vocab17001,0.0003065633801236922
vocab9274,0.0003063390588426085
vocab3766,0.0003053875496172642
vocab5166,0.0002995376466001787
vocab2412,0.0002975242674790435
vocab14997,0.0002969785390264601
vocab477,0.0002964270731689256
n_paragraphs_with_n_sentences_geq4_lt5_frac,0.000295370940678108
vocab5898,0.0002946404902879118
vocab7609,0.0002927882084960309
vocab448,0.00029223764262362726
vocab7174,0.00029176683792888627
vocab401,0.0002911989473437071
vocab10317,0.000290347448960282
vocab1168,0.0002898271450862078
vocab1138,0.00028918298076550106
vocab13902,0.0002886146401877676
vocab10772,0.00028826387100300277
vocab504,0.00028552859134995946
vocab10217,0.0002853830187633744
vocab10933,0.0002846423310429058
vocab12093,0.000282096498249107
vocab18345,0.0002788239275035798
vocab12569,0.000277908530179527
vocab4573,0.00027664056370055865
vocab6041,0.000275327035476991
vocab13746,0.00027485364332513473
n_paragraphs_with_n_sentences_geq5_lt6,0.00027483654360862533
vocab2368,0.0002714797117600254
vocab8798,0.00026973531567959786
vocab3796,0.00026579889343973927
vocab17016,0.000265699445088452
event47,0.00026559234686400756
vocab10246,0.000265186678589413
n_paragraphs_with_n_sentences_geq3_lt4,0.0002631205378430312
vocab2933,0.0002628972290451559
vocab16847,0.0002614735651474298
vocab6827,0.00026008151322562954
vocab105,0.00025978463064753045
vocab2,0.00025910829186024385
vocab14890,0.0002589019702807338
vocab9260,0.0002575319679933852
vocab2807,0.00025630225088033585
vocab3500,0.00025585585828082904
vocab9697,0.00025433420850760056
vocab308,0.0002540931250043954
vocab7473,0.00025295318140301505
vocab2440,0.0002520301342058273
vocab2947,0.0002500910038537585
vocab4825,0.0002499593810358691
vocab6521,0.00024751895899455256
vocab2231,0.0002459755970812383
vocab19529,0.0002454410059440137
vocab7342,0.00024532277040421044
vocab14230,0.000245054124857913
vocab17146,0.0002434044522070966
vocab4853,0.0002406081985649511
vocab12408,0.00024045396362193383
vocab5627,0.00024032695322762088
vocab10344,0.0002396583768115912
vocab14079,0.000238539582859576
vocab8396,0.00023787899381120248
n_sentences_words_geq50_lt5000,0.00023626509556728958
vocab4767,0.0002350829651653008
vocab12079,0.00023489588076688328
vocab8624,0.0002331835466548915
vocab1336,0.00023250012048512403
vocab19263,0.0002320556403539342
vocab2426,0.0002315978854428691
vocab2186,0.0002299231257079537
vocab13802,0.0002293447727962139
vocab10649,0.0002278497850809247
vocab10474,0.00022711179731569331
event3,0.00022606848961221894
vocab2261,0.00022439507985494433
vocab823,0.00022195420782105123
vocab16805,0.00022195285784343266
vocab13147,0.00022050118191012656
vocab5280,0.0002204399829247139
vocab5599,0.00021974283198247235
vocab6460,0.0002189713197730203
vocab6828,0.00021881854730576578
vocab12122,0.00021872708632206806
vocab1032,0.00021774149016182687
vocab6461,0.00021759828003602432
vocab7004,0.00021595828222480405
vocab3108,0.00021573283596239002
vocab2661,0.00021464452900494814
vocab13972,0.00021439917057262115
vocab3606,0.00021375646872767717
vocab5766,0.0002117077651922372
vocab5437,0.00021134102127231546
vocab694,0.00021118453636659318
vocab8638,0.0002090033100281552
vocab4545,0.00020899431017737947
vocab6698,0.00020749819748075993
vocab4984,0.00020626904285832027
vocab1306,0.00020563140342950704
n_paragraphs_with_n_sentences_geq10_lt20_frac,0.00020452835921638268
n_paragraphs_with_n_sentences_geq4_lt5,0.00020376010945282185
vocab6669,0.00020366403604556992
vocab1153,0.0002028798115468744
vocab293,0.0002022072976961775
vocab2962,0.00020212922399054367
vocab33,0.00020207421240256985
vocab8783,0.00020135051190044438
vocab12728,0.00020118266468311942
vocab8845,0.00020028256710544757
vocab16987,0.00019990952328998723
vocab4811,0.00019909368681536588
n_paragraphs_with_n_sentences_geq2_lt3_frac,0.00019878892936777692
vocab7458,0.0001981789644801113
vocab6927,0.00019772908443849158
vocab6506,0.00019691617291537345
vocab4971,0.0001968905233405982
vocab4341,0.00019662829018802787
vocab1754,0.00019558846992675515
vocab10431,0.0001951338649634371
vocab14373,0.00019391157272727889
vocab10989,0.00019357925323666426
vocab2544,0.00019262751901503173
vocab13731,0.00019204027875059372
vocab2353,0.0001902534708732917
vocab16513,0.00018937778539087624
vocab9101,0.0001889012432913173
vocab2189,0.0001882272669648355
vocab10331,0.00018730871969301343
vocab14123,0.00018570539627376091
vocab4720,0.0001849225217527062
vocab3152,0.00018435294369547605
vocab3781,0.0001842879197734959
vocab4340,0.000184127497433062
vocab14519,0.0001823471019494427
vocab219,0.00018179091117027647
vocab10303,0.00018125159511133137
vocab17881,0.00018075502834371537
vocab8452,0.00017964354677046934
vocab4343,0.0001772375491583933
vocab4941,0.00017658742243658042
vocab10594,0.0001764070879262558
vocab17160,0.00017583458491752247
vocab11129,0.00017554760217530774
latency_time_3.0_time_window,0.00017548471571784407
vocab13929,0.0001743907838536618
vocab10636,0.0001730024443703293
vocab4618,0.00017181052663057806
vocab6154,0.00017178330208194036
vocab8830,0.0001716271546706283
vocab6712,0.00017137077142106438
vocab8451,0.00017045222414926453
vocab8507,0.00016970208658546594
vocab7189,0.0001695674263179292
vocab14271,0.0001694775403080939
vocab8953,0.00016936222971979386
vocab14065,0.00016760118391538902
vocab3635,0.0001671360041273884
vocab15798,0.00016683844656046888
vocab8652,0.00016510361282151553
vocab12138,0.0001649898772070335
vocab3675,0.00016467150748518123
vocab4560,0.00016432321325936526
vocab16875,0.00016373136057141747
vocab404,0.00016319609444537253
vocab17784,0.00016246451907382388
vocab12178,0.00016218226125324086
vocab6654,0.00016200338921870116
vocab18825,0.00016106402979187973
vocab18495,0.00015870685637044967
vocab10249,0.00015868548172479625
vocab8407,0.00015849040995876695
vocab388,0.0001584433857384049
vocab4342,0.00015760786209013667
vocab2543,0.00015758659994264957
vocab3334,0.00015750402631160566
vocab14258,0.00015734506644693447
vocab4718,0.0001573090670437427
vocab7651,0.000156785950716265
vocab206,0.00015579967956722563
vocab2246,0.00015533146232957762
vocab2749,0.0001552439387805471
vocab2976,0.00015440301522184896
vocab7313,0.0001531273988697457
vocab1363,0.00015304403775173725
vocab1632,0.00015284356607530024
vocab4386,0.00015256018327336474
vocab7046,0.0001521917518814142
vocab17044,0.00015135139081339232
vocab2545,0.0001512075056987916
n_paragraphs_with_n_sentences_geq10_lt20,0.00015118759352892309
vocab2632,0.00015060845313024095
vocab5338,0.00014974154250231299
vocab17675,0.00014941136047625926
vocab15319,0.00014859394902779765
vocab48,0.00014772760089059033
vocab582,0.00014739944383093117
vocab5926,0.0001469455138564557
vocab519,0.0001469118769140909
vocab2736,0.00014661983175576765
vocab4604,0.000146168151743975
vocab11644,0.0001459418054964523
vocab3513,0.0001459403430207118
vocab12868,0.00014465178938307676
vocab20,0.00014431991988494985
vocab10786,0.00014387926469039414
vocab387,0.00014383381544387231
vocab4344,0.00014276587064885327
vocab12757,0.00014258351117211188
vocab419,0.0001422230671477287
vocab4784,0.00014170962565986933
vocab12277,0.00014156259059749932
vocab11075,0.0001415494283156793
vocab3836,0.0001409746753442853
vocab17173,0.0001406707053836831
vocab4916,0.00014065641812053276
vocab4445,0.00014045977138064104
vocab17279,0.00014043580927789457
vocab1003,0.0001397321334438262
vocab8493,0.0001396372975160487
vocab5465,0.00013932624017296558
vocab5138,0.00013928022843572306
vocab9115,0.0001392368041556624
vocab2603,0.00013857767758302942
vocab580,0.0001382680827156424
vocab221,0.00013806671105411893
vocab4737,0.00013770401706707512
vocab220,0.0001375527070755389
vocab3275,0.00013663022236902743
vocab12317,0.00013644583792582488
vocab5324,0.00013591428423822549
vocab265,0.0001351879962790292
vocab9130,0.00013416291327341678
vocab11245,0.00013415852584612863
vocab62,0.00013408618954535712
vocab12232,0.00013407561472067453
vocab10460,0.0001340755022225304
vocab5267,0.00013359783514157452
n_sentences_words_geq0_lt5_frac,0.00013335495166821865
vocab4356,0.00013253157781858426
vocab2575,0.00013203984847076633
vocab11142,0.00013194647501870715
vocab2542,0.0001316791794501171
vocab2371,0.0001315871559757653
vocab236,0.00013071912036652922
vocab252,0.00013040806302337947
vocab2792,0.0001302497781475287
vocab10262,0.00012977987343787412
vocab2675,0.0001289110503416957
vocab405,0.00012848063247739017
vocab7907,0.0001284403581450766
vocab462,0.00012831976014440193
vocab2574,0.0001282129994143455
event2,0.00012807766415801058
vocab2385,0.00012781576849989483
vocab4752,0.00012755522281935328
vocab866,0.00012752709828560692
vocab4459,0.00012693862054171667
vocab2738,0.00012677347327960664
vocab8938,0.00012641055429627457
vocab5780,0.00012534148451990302
event5,0.00012520817422998488
vocab266,0.00012514191282853027
activity_Input_time_norm_1.0_time_window,0.000124980478004888
vocab6640,0.0001244213622741963
vocab1519,0.00012441596236372198
vocab4605,0.0001228969000475866
vocab8378,0.0001228152264016069
vocab61,0.00012255546820802988
vocab3098,0.00012253769350267785
vocab417,0.00012232057210224135
vocab7356,0.0001219180537754161
vocab11371,0.00012166965789348617
vocab4562,0.00012149101085519032
vocab10948,0.00012137828772398329
vocab10416,0.00012117331612211401
vocab35,0.00012104135580981445
vocab4631,0.00012045726549319014
vocab13998,0.00012042891596319993
vocab10234,0.00012039696649286391
vocab4590,0.00012037514185467835
vocab1047,0.00012020661964853296
vocab6801,0.00012006802194626242
vocab6830,0.00012003697246101285
vocab2604,0.00011989443732407512
vocab4930,0.00011979285150820473
vocab1197,0.00011958113001824256
vocab2188,0.00011935444627628745
vocab852,0.00011905700120753426
vocab2400,0.00011874470638491008
vocab4735,0.00011833082574645992
vocab7487,0.00011795238202052527
vocab6642,0.00011786857090998471
vocab2190,0.00011759272548308441
latency_time_4.0_time_window,0.00011757630075537318
vocab6611,0.00011750823938374566
vocab4839,0.00011744962785544821
vocab5268,0.00011742431577506096
vocab2918,0.00011712923316713475
vocab8693,0.00011695486105796071
vocab418,0.00011674808948596294
vocab434,0.00011632082156942669
vocab10622,0.0001161930236881048
n_parenthetical_punctuation,0.00011581626743419892
is_new_burst_start_1.0_time_window,0.00011562895803953754
vocab10582,0.00011503283042244573
vocab2427,0.0001147590099619844
vocab8784,0.00011472571051405201
vocab4558,0.00011424871842187212
vocab12451,0.00011411495813944406
vocab6432,0.0001139228113249402
vocab12423,0.00011384046269016234
words_length_p50,0.00011355291745727137
vocab4719,0.00011344368176822162
vocab4355,0.00011342140713750392
vocab203,0.00011325580988286177
vocab9315,0.00011324152261973363
vocab3305,0.0001127675679772011
vocab1294,0.00011268094441330145
vocab4357,0.00011260185822443702
